batch_index: 8
start_index: 700
end_index: 800
total_prompt_tokens: 459098
total_completion_tokens: 51111
total_tokens: 510209
total_runtime_seconds: 1624.11
# per_article: index	article_id	prompt_tokens	completion_tokens	total_tokens	api_rounds
700	A700	5182	1314	6496	2
701	A701	4453	7	4460	1
702	A702	6539	2212	8751	2
703	A703	17710	2985	20695	3
704	A704	4510	1036	5546	2
705	A705	7175	7	7182	1
706	A706	2519	7	2526	1
707	A707	3288	7	3295	1
708	A708	4646	7	4653	1
709	A709	3677	7	3684	1
710	A710	2911	7	2918	1
711	A711	2730	431	3161	1
712	A712	2405	219	2624	1
713	A713	40630	4229	44859	7
714	A714	2334	7	2341	1
715	A715	2924	7	2931	1
716	A716	3597	7	3604	1
717	A717	3925	442	4367	2
718	A718	2907	841	3748	1
719	A719	2328	7	2335	1
720	A720	5883	2107	7990	2
721	A721	3005	7	3012	1
722	A722	2803	222	3025	1
723	A723	6323	1174	7497	2
724	A724	2257	205	2462	1
725	A725	3250	561	3811	2
726	A726	2936	240	3176	1
727	A727	2550	265	2815	1
728	A728	2364	7	2371	1
729	A729	2262	7	2269	1
730	A730	4101	931	5032	2
731	A731	2514	7	2521	1
732	A732	5450	1486	6936	2
733	A733	2594	7	2601	1
734	A734	2393	7	2400	1
735	A735	5971	1813	7784	2
736	A736	2975	206	3181	1
737	A737	6161	7	6168	1
738	A738	3697	742	4439	2
739	A739	3959	771	4730	2
740	A740	6265	1227	7492	2
741	A741	2898	219	3117	1
742	A742	5577	1222	6799	2
743	A743	4152	978	5130	2
744	A744	3582	7	3589	1
745	A745	2783	7	2790	1
746	A746	6455	7	6462	1
747	A747	3845	5	3850	1
748	A748	3833	580	4413	1
749	A749	4250	7	4257	1
750	A750	4473	7	4480	1
751	A751	2948	206	3154	1
752	A752	2737	7	2744	1
753	A753	3365	7	3372	1
754	A754	9178	7	9185	1
755	A755	3489	7	3496	1
756	A756	2834	5	2839	1
757	A757	2100	7	2107	1
758	A758	3335	5	3340	1
759	A759	2527	210	2737	1
760	A760	7857	1258	9115	2
761	A761	10945	7	10952	1
762	A762	3769	7	3776	1
763	A763	7469	7	7476	1
764	A764	3397	5	3402	1
765	A765	2658	228	2886	1
766	A766	4968	811	5779	2
767	A767	3873	556	4429	2
768	A768	2465	220	2685	1
769	A769	2459	7	2466	1
770	A770	8333	1755	10088	2
771	A771	2744	7	2751	1
772	A772	2325	213	2538	1
773	A773	3076	7	3083	1
774	A774	7404	1255	8659	2
775	A775	8034	2922	10956	2
776	A776	2791	7	2798	1
777	A777	3432	564	3996	2
778	A778	4658	1465	6123	2
779	A779	2697	7	2704	1
780	A780	3033	241	3274	1
781	A781	2436	223	2659	1
782	A782	3881	234	4115	1
783	A783	3293	7	3300	1
784	A784	3477	946	4423	2
785	A785	2505	5	2510	1
786	A786	2358	244	2602	1
787	A787	4009	802	4811	2
788	A788	9135	1822	10957	2
789	A789	8054	2232	10286	2
790	A790	3987	7	3994	1
791	A791	4099	891	4990	1
792	A792	2895	7	2902	1
793	A793	3668	756	4424	2
794	A794	3216	7	3223	1
795	A795	4038	5	4043	1
796	A796	5067	825	5892	2
797	A797	5335	1250	6585	2
798	A798	4601	7	4608	1
799	A799	4193	7	4200	1
